,K,charge_max,charge_position,charge_ratio,dg,k1,k2,kap,lam,theta0
63,5.0,2.0,tail,0.5,-160.2346534706,10.0,100.0,4.0,12.0,135.0
64,50.0,1.0,tail,0.2,-947.60131401349,100.0,0.0,5.0,9.0,90.0
65,20.0,0.0,tail,0.7000000000000001,-517.10954098543,1.0,100.0,6.0,20.0,90.0
66,50.0,3.0,core,0.30000000000000004,-736.9827242018699,100.0,1.0,6.0,8.0,180.0
67,10.0,2.0,core,0.4,-1190.5084264771,10.0,10.0,3.0,23.0,135.0
68,50.0,0.0,core,0.8,-39.046123940369,1.0,10.0,5.0,25.0,120.0
69,50.0,0.0,core,0.2,-2004.8696897007999,10.0,10.0,4.0,20.0,120.0
70,5.0,0.0,tail,0.0,-24.689095365779,100.0,5.0,3.0,15.0,90.0
71,20.0,0.0,core,0.30000000000000004,-102.93902516599,0.0,100.0,6.0,22.0,180.0
72,5.0,0.0,tail,0.2,-524.99438788993,5.0,100.0,6.0,15.0,120.0
73,50.0,1.0,core,1.0,-62.942965245747004,10.0,0.0,8.0,11.0,135.0
74,10.0,0.0,core,0.9,-31.085929488712,0.0,10.0,8.0,17.0,180.0
75,10.0,0.0,core,0.1,-31.085929488712,100.0,5.0,8.0,18.0,90.0
76,10.0,2.0,tail,0.1,-68.529627204025,0.0,0.0,6.0,22.0,90.0
77,10.0,0.0,tail,0.6000000000000001,-2172.5714955579,10.0,100.0,3.0,22.0,135.0
78,20.0,1.0,core,0.6000000000000001,-2172.5714955579,0.0,5.0,4.0,17.0,120.0
79,20.0,1.0,tail,0.7000000000000001,-914.39470970215,10.0,10.0,7.0,23.0,120.0
80,50.0,1.0,core,0.9,-613.70112207761,0.0,0.0,7.0,8.0,180.0
81,20.0,3.0,core,0.4,-1346.793050231,1.0,0.0,6.0,25.0,90.0
82,50.0,1.0,core,0.0,-1125.1865246393,1.0,0.0,7.0,16.0,90.0
83,50.0,1.0,core,0.30000000000000004,-177.63044102116,1.0,5.0,5.0,21.0,180.0
84,20.0,2.0,tail,0.1,-85.930016956598,5.0,10.0,8.0,21.0,180.0
85,50.0,2.0,core,0.9,-757.3218433997,0.0,1.0,4.0,19.0,135.0
86,5.0,1.0,core,0.8,-757.3218433997,1.0,10.0,4.0,12.0,135.0
87,20.0,0.0,tail,0.1,-757.3218433997,1.0,100.0,4.0,20.0,135.0
88,50.0,3.0,core,1.0,-117.26959075751002,100.0,100.0,8.0,15.0,180.0
89,50.0,3.0,tail,0.8,-1719.0416351735,10.0,10.0,4.0,15.0,135.0
90,50.0,2.0,tail,0.5,-1275.961697998,0.0,0.0,6.0,13.0,120.0
91,20.0,0.0,core,0.0,-675.29646928581,5.0,0.0,3.0,8.0,120.0
92,5.0,3.0,core,0.0,-70.993590323693,10.0,100.0,3.0,18.0,135.0
93,20.0,3.0,core,0.30000000000000004,-191.06461464357,5.0,100.0,8.0,12.0,180.0
94,50.0,1.0,core,0.8,-2168.1624106395,100.0,10.0,8.0,19.0,135.0
95,20.0,2.0,core,0.5,-115.34468446325,100.0,5.0,7.0,20.0,180.0
96,5.0,1.0,tail,0.30000000000000004,-65.85961580621101,0.0,10.0,2.0,22.0,120.0
97,20.0,3.0,tail,0.6000000000000001,-1380.7886041335,5.0,5.0,5.0,20.0,180.0
98,10.0,3.0,core,0.30000000000000004,-731.44599250233,5.0,5.0,5.0,13.0,135.0
99,20.0,3.0,tail,0.6000000000000001,-24.058260646811,5.0,1.0,8.0,18.0,180.0
0,50.0,3.0,core,0.2,-173.53773084893996,5.0,5.0,6.0,7.0,180.0
1,10.0,0.0,tail,0.8,-587.9482441210299,5.0,0.0,7.0,5.0,180.0
2,5.0,1.0,core,0.5,-324.31160124576,1.0,100.0,3.0,23.0,90.0
3,10.0,1.0,core,0.2,-340.74523841204,1.0,1.0,5.0,9.0,120.0
4,20.0,1.0,tail,0.2,-340.74523841204,100.0,100.0,2.0,22.0,135.0
5,10.0,3.0,tail,0.9,-734.1277843517099,1.0,10.0,6.0,19.0,180.0
6,5.0,2.0,tail,0.2,-734.1277843517099,5.0,10.0,3.0,15.0,135.0
7,10.0,1.0,core,0.5,-340.04786581872,5.0,10.0,4.0,19.0,120.0
8,50.0,3.0,tail,0.6000000000000001,-1174.0173002187,0.0,1.0,5.0,5.0,135.0
9,5.0,1.0,tail,0.5,-77.683269015793,5.0,100.0,5.0,16.0,180.0
10,50.0,2.0,tail,0.9,-351.91324877448,10.0,100.0,7.0,25.0,90.0
11,50.0,1.0,core,0.6000000000000001,-2452.249176656,5.0,0.0,5.0,13.0,90.0
12,20.0,2.0,tail,0.5,-2152.1027870135,1.0,0.0,3.0,16.0,135.0
13,50.0,0.0,core,0.2,-59.660229297948,10.0,100.0,2.0,21.0,180.0
14,5.0,2.0,core,0.6000000000000001,-108.52401655971,0.0,1.0,3.0,20.0,90.0
15,10.0,1.0,core,0.30000000000000004,-1809.8936012493,0.0,5.0,4.0,10.0,135.0
16,20.0,0.0,core,0.2,-42.827340322283,100.0,10.0,2.0,7.0,180.0
17,20.0,3.0,tail,0.7000000000000001,-668.2315269079099,1.0,5.0,8.0,20.0,90.0
18,10.0,1.0,tail,0.6000000000000001,-1884.605024209,10.0,1.0,2.0,9.0,135.0
19,50.0,1.0,core,0.30000000000000004,-740.61460106311,10.0,100.0,4.0,23.0,120.0
20,50.0,3.0,tail,1.0,-77.839909471099,0.0,5.0,8.0,23.0,90.0
21,10.0,0.0,tail,0.2,-869.7842170868801,5.0,10.0,3.0,15.0,120.0
22,10.0,1.0,tail,0.9,-258.98057607457,0.0,100.0,3.0,11.0,120.0
23,5.0,3.0,tail,0.7000000000000001,-75.913515698385,100.0,100.0,4.0,21.0,120.0
24,5.0,0.0,tail,0.7000000000000001,-59.582034808823,0.0,0.0,8.0,15.0,180.0
25,10.0,3.0,tail,0.30000000000000004,-306.742826671,100.0,1.0,6.0,17.0,180.0
26,5.0,3.0,core,0.0,-2073.4723306944,100.0,0.0,7.0,7.0,135.0
27,10.0,3.0,tail,0.6000000000000001,-70.9130092762,0.0,1.0,3.0,17.0,180.0
28,10.0,0.0,core,0.8,-143.50657406602,0.0,100.0,6.0,24.0,120.0
29,5.0,0.0,tail,1.0,-546.3714477152099,0.0,5.0,3.0,23.0,90.0
30,10.0,1.0,core,1.0,-115.04540362503,1.0,100.0,3.0,7.0,180.0
31,5.0,1.0,core,1.0,-83.880015797751,5.0,1.0,5.0,18.0,90.0
32,50.0,2.0,tail,0.1,-83.880015797751,10.0,1.0,8.0,24.0,180.0
33,20.0,3.0,core,0.30000000000000004,-370.54625116962006,0.0,1.0,3.0,18.0,120.0
34,50.0,3.0,tail,0.4,-775.9529024723199,1.0,1.0,4.0,18.0,135.0
